timestamp,email,centro,grado,fecha,disponibilidad,dispositivos,frecuencia,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,frecuencia_num,disponibilidad_bin,indice_proposito,indice_rendimiento,indice_motivacion
01/28/2025 00:00:00,estudiante63@escuela.edu,Juan Bautista De la Cruz,3ro A,01/28/2025,No sabe,,Nunca,2,1,2,1,1,2,1,5,1,5,2,2,5,2,3,0.0,0,1.5,2.0,3.1666666666666665
02/02/2025 00:00:00,estudiante64@escuela.edu,Federico Augusto Gonzalez,3ro A,02/02/2025,Sí,"Computadora,Proyector,Internet",4-5 veces,4,4,4,5,1,4,4,2,4,5,1,5,5,5,5,4.5,1,4.25,3.0,4.333333333333333
02/11/2025 00:00:00,estudiante65@escuela.edu,Juan Bautista De la Cruz,3ro B,02/11/2025,Sí,"Tableta,Proyector,Internet",4-5 veces,2,2,2,1,3,4,5,5,4,2,1,2,5,5,3,4.5,1,1.75,4.2,3.0
02/03/2025 00:00:00,estudiante66@escuela.edu,Federico Augusto Gonzalez,3ro B,02/03/2025,Sí,"Proyector,Internet,Bocinas",2-3 veces,4,3,4,2,2,1,5,5,2,4,1,4,3,4,4,2.5,1,3.25,3.0,3.3333333333333335
02/14/2025 00:00:00,estudiante67@escuela.edu,Juan Bautista De la Cruz,3ro B,02/14/2025,Sí,"Computadora,Proyector,Internet",2-3 veces,1,3,4,4,5,4,3,4,2,2,5,2,3,4,5,2.5,1,3.0,3.6,3.5
01/18/2025 00:00:00,estudiante68@escuela.edu,Juan Bautista De la Cruz,3ro C,01/18/2025,No,,Nunca,2,2,4,2,1,5,1,2,2,4,5,3,2,4,1,0.0,0,2.5,2.2,3.1666666666666665
02/03/2025 00:00:00,estudiante69@escuela.edu,Juan Bautista De la Cruz,3ro B,02/03/2025,Sí,"Tableta,Proyector,Internet",Más de 5 veces,4,5,2,4,5,2,4,5,5,4,1,3,2,2,3,6.0,1,3.75,4.2,2.5
02/05/2025 00:00:00,estudiante70@escuela.edu,Juan Bautista De la Cruz,3ro A,02/05/2025,Sí,"Tableta,Proyector,Internet",2-3 veces,4,4,1,4,1,4,3,1,3,5,5,5,4,2,2,2.5,1,3.25,2.4,3.8333333333333335
01/29/2025 00:00:00,estudiante71@escuela.edu,Juan Bautista De la Cruz,3ro B,01/29/2025,Sí,"Tableta,Proyector,Internet",4-5 veces,3,4,4,5,4,3,5,4,1,4,2,4,4,4,3,4.5,1,4.0,3.4,3.5
01/27/2025 00:00:00,estudiante72@escuela.edu,Federico Augusto Gonzalez,3ro C,01/27/2025,Sí,"Computadora,Tableta,Proyector,Internet",1 vez,4,5,1,4,1,4,2,3,5,4,4,4,4,5,5,1.0,1,3.5,3.0,4.333333333333333
02/07/2025 00:00:00,estudiante73@escuela.edu,Federico Augusto Gonzalez,3ro A,02/07/2025,No sabe,,1 vez,1,2,2,2,3,2,1,4,5,4,4,5,3,5,5,1.0,0,1.75,3.0,4.333333333333333
01/30/2025 00:00:00,estudiante74@escuela.edu,Juan Bautista De la Cruz,3ro C,01/30/2025,No,,1 vez,2,3,3,1,1,1,1,4,4,1,1,1,1,2,2,1.0,0,2.25,2.2,1.3333333333333333
01/18/2025 00:00:00,estudiante75@escuela.edu,Federico Augusto Gonzalez,3ro B,01/18/2025,Sí,"Proyector,Internet,Bocinas",4-5 veces,5,3,4,5,5,5,4,2,5,5,5,2,1,2,5,4.5,1,4.25,4.2,3.3333333333333335
02/06/2025 00:00:00,estudiante76@escuela.edu,Juan Bautista De la Cruz,3ro C,02/06/2025,No,,1 vez,1,1,4,4,5,1,1,2,4,1,2,1,1,1,4,1.0,0,2.5,2.6,1.6666666666666667
01/28/2025 00:00:00,estudiante77@escuela.edu,Federico Augusto Gonzalez,3ro B,01/28/2025,Sí,"Tableta,Proyector,Internet",4-5 veces,1,4,2,5,4,4,4,5,2,2,5,4,2,3,4,4.5,1,3.0,3.8,3.3333333333333335
02/02/2025 00:00:00,estudiante78@escuela.edu,Federico Augusto Gonzalez,3ro C,02/02/2025,Sí,"Tableta,Proyector,Internet",2-3 veces,1,1,4,1,4,2,2,4,2,2,5,3,2,4,4,2.5,1,1.75,2.8,3.3333333333333335
02/03/2025 00:00:00,estudiante79@escuela.edu,Juan Bautista De la Cruz,3ro B,02/03/2025,No,,Nunca,1,2,1,3,2,2,4,3,2,1,4,1,1,1,2,0.0,0,1.75,2.6,1.6666666666666667
02/11/2025 00:00:00,estudiante80@escuela.edu,Federico Augusto Gonzalez,3ro C,02/11/2025,Sí,"Computadora,Tableta,Proyector,Internet",1 vez,4,4,5,4,1,2,5,2,5,5,3,4,3,1,5,1.0,1,4.25,3.0,3.5
